Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
1945,1026,0.001,279,0,36,12,12.753,5.214,0,0.225,0.002,0.007,0.017,0,0.113,0.059,0.052,0.028,0,0.035,0.002,0.003,0.002
190,123,0.012,77,0,8,4,4.225,1.904,0,0.126,0.001,0.005,0.016,0,0.233,0.022,0.048,0.045,0,0.18,0.024,0.025,0.019
1536,768,0.002,88,0,25,9,9.542,3.082,0,0.212,0.004,0.009,0.019,0,0.161,0.095,0.089,0.03,0,0.037,0.005,0.005,0.003
200,139,0.01,118,0,16,2.5,3.329,0.912,0,0.097,0.002,0.008,0.014,0,0.123,0.033,0.035,0.024,0,0.043,0.021,0.02,0.008
1894,1083,0.001,199,0,34,13,12.771,4.295,0,0.197,0.003,0.008,0.015,0,0.122,0.07,0.064,0.028,0,0.025,0.002,0.003,0.001
282,165,0.01,53,0,26,9,9.255,4.578,0,0.237,0.011,0.029,0.038,0,0.144,0.07,0.068,0.036,0,0.073,0.018,0.02,0.009
1313,710,0.002,55,0,33,9,9.982,0.875,0,0.621,0.006,0.012,0.035,0,0.171,0.091,0.087,0.028,0,0.063,0.004,0.005,0.003
1519,1004,0.001,614,0,32,9,10.945,6.805,0,0.047,0,0,0.003,0,0.127,0.003,0.009,0.01,0,0.065,0.002,0.003,0.003
5652,2531,0,289,0,33,10,9.455,0.67,0,0.351,0.001,0.003,0.013,0,0.158,0.094,0.088,0.026,0,0.056,0.001,0.001,0.002
19,20,0.05,20,0,4,1,1.2,1.122,0,0.017,0,0.004,0.005,0,0.203,0.07,0.062,0.054,0,0.157,0.105,0.1,0.052
402,237,0.007,70,0,34,11,12.181,6.892,0,0.236,0.007,0.028,0.052,0,0.201,0.051,0.058,0.037,0,0.08,0.012,0.014,0.008
11964,6058,0,1425,0,39,10,9.941,3.279,0,0.255,0,0.001,0.007,0,0.161,0.082,0.071,0.039,0,0.052,0,0,0.001
173,114,0.013,38,0,20,8,7.816,3.583,0,0.211,0.008,0.033,0.042,0,0.143,0.08,0.071,0.036,0,0.079,0.026,0.026,0.011
2021,976,0.002,95,0,32,11,11.506,4.179,0,0.262,0.003,0.009,0.021,0,0.16,0.081,0.079,0.022,0,0.051,0.004,0.004,0.003
3884,1767,0.001,737,0,64,11,14.247,8.695,0,0.276,0,0.003,0.017,0,0.104,0.041,0.034,0.028,0,0.284,0.001,0.002,0.011
12691,6363,0,186,0,36,11,11.417,3.754,0,0.732,0,0.001,0.016,0,0.212,0.086,0.088,0.024,0,0.11,0,0,0.001
931,456,0.004,48,0,28,11,10.922,4.65,0,0.228,0.005,0.018,0.032,0,0.148,0.08,0.081,0.029,0,0.068,0.008,0.008,0.006
265,162,0.01,72,0,23,9,8.895,4.222,0,0.283,0.008,0.023,0.041,0,0.136,0.059,0.056,0.025,0,0.062,0.018,0.02,0.008
1647,728,0.003,81,0,28,9,8.743,2.949,0,0.243,0.002,0.009,0.023,0,0.172,0.105,0.098,0.031,0,0.088,0.005,0.006,0.006
112,79,0.018,76,0,9,3,2.794,2.009,0,0.019,0.001,0.002,0.003,0,0.303,0.019,0.033,0.044,0,0.102,0.038,0.036,0.018
2832,1968,0,1000,0,35,11,11.18,4.839,0,0.184,0,0.001,0.009,0,0.113,0.038,0.032,0.031,0,0.094,0.001,0.001,0.003
310,198,0.007,79,0,30,10,10.525,5.256,0,0.126,0.004,0.02,0.029,0,0.091,0.051,0.042,0.025,0,0.03,0.015,0.015,0.005
17609,8117,0,1502,0,667,12,12.955,18.737,0,0.207,0,0.001,0.005,0,0.132,0.071,0.061,0.03,0,0.036,0,0,0.001
1919,1006,0.001,90,0,30,12,11.697,3.953,0,0.253,0.004,0.009,0.019,0,0.157,0.078,0.077,0.027,0,0.044,0.002,0.003,0.003
4315,1910,0.001,240,0,38,9,9.116,3.404,0,0.249,0,0.003,0.015,0,0.204,0.105,0.098,0.034,0,0.094,0.002,0.002,0.004
5276,2193,0.001,201,0,39,9,9.466,3.329,0,0.23,0.001,0.003,0.014,0,0.184,0.104,0.099,0.027,0,0.072,0.001,0.002,0.004
1082,518,0.004,66,0,22,8,8.509,3.175,0,0.375,0.004,0.01,0.027,0,0.187,0.095,0.093,0.031,0.001,0.106,0.007,0.008,0.008
749,447,0.003,121,0,31,12,11.793,4.58,0,0.192,0.007,0.016,0.024,0,0.149,0.064,0.058,0.025,0,0.029,0.006,0.007,0.003
14564,5945,0,270,0,41,8,7.935,0.396,0,0.314,0,0.001,0.009,0,0.214,0.121,0.118,0.023,0,0.093,0,0,0.002
7614,3662,0,201,0,35,10,10.138,3.719,0,0.535,0,0.002,0.014,0,0.191,0.099,0.095,0.029,0,0.096,0,0.001,0.002
5733,2836,0,694,0,33,12,12.715,4.913,0,0.312,0,0.003,0.012,0,0.135,0.071,0.062,0.032,0,0.053,0.001,0.001,0.002
1537,768,0.002,88,0,25,9,9.54,3.081,0,0.212,0.004,0.009,0.019,0,0.161,0.095,0.089,0.03,0,0.037,0.005,0.005,0.003
923,458,0.004,47,0,29,11,11.073,4.714,0,0.226,0.006,0.018,0.032,0,0.144,0.079,0.08,0.029,0,0.067,0.006,0.008,0.006
44,33,0.041,21,0,11,4,4.479,2.503,0,0.233,0.051,0.06,0.048,0,0.242,0.111,0.114,0.063,0,0.156,0.093,0.083,0.031
574,308,0.006,39,0,25,9,8.61,0.996,0,0.303,0.009,0.023,0.04,0,0.149,0.096,0.089,0.031,0,0.078,0.009,0.012,0.008
5314,2784,0,310,0,34,12,11.641,3.575,0,0.469,0.001,0.003,0.014,0,0.149,0.08,0.076,0.028,0,0.04,0.001,0.001,0.001
1318,752,0.002,85,0,35,13,12.644,1.371,0,0.507,0.005,0.014,0.031,0,0.128,0.065,0.065,0.022,0,0.049,0.003,0.004,0.003
1790,909,0.002,198,0,39,9,8.658,1.076,0,0.161,0.001,0.006,0.014,0,0.128,0.075,0.063,0.032,0,0.042,0.003,0.004,0.003
1894,1083,0.001,199,0,34,13,12.771,4.295,0,0.197,0.003,0.008,0.015,0,0.122,0.07,0.064,0.028,0,0.025,0.002,0.003,0.001
8603,4061,0,116,0,51,13,13.186,4.389,0,0.28,0,0.002,0.01,0,0.142,0.077,0.076,0.016,0,0.04,0,0.001,0.001
2428,1207,0.001,226,0,38,9,8.962,0.973,0,0.196,0.001,0.005,0.015,0,0.142,0.078,0.067,0.032,0,0.052,0.002,0.003,0.003
3795,1662,0.001,184,0,35,8,7.914,0.754,0,0.252,0.001,0.003,0.016,0,0.204,0.106,0.103,0.032,0,0.107,0.002,0.002,0.005
304,164,0.011,51,0,21,7,6.124,1.2,0,0.209,0.01,0.022,0.033,0,0.166,0.082,0.067,0.039,0,0.073,0.024,0.022,0.01
8182,3417,0,104,0,35,9,9.88,3.409,0,0.268,0,0.002,0.011,0,0.19,0.104,0.102,0.024,0,0.052,0.001,0.001,0.002
2826,1420,0.001,81,0,27,10,9.911,3.241,0,0.562,0.002,0.005,0.022,0,0.189,0.098,0.096,0.027,0,0.071,0.002,0.002,0.003
6691,2974,0,313,0,38,9,8.81,2.951,0,0.261,0,0.002,0.01,0,0.179,0.104,0.096,0.033,0,0.075,0.001,0.001,0.002
4202,2372,0,604,0,32,12,12.472,4.214,0,0.377,0.001,0.003,0.012,0,0.16,0.063,0.058,0.032,0,0.054,0.001,0.001,0.001
679,366,0.005,51,0,21,9,8.889,3.039,0,0.317,0.01,0.016,0.027,0,0.168,0.097,0.09,0.033,0,0.065,0.008,0.01,0.005
2266,836,0.003,103,0,34,11,11.578,1.29,0,0.53,0.001,0.011,0.037,0,0.141,0.077,0.071,0.025,0,0.161,0.003,0.006,0.014
103,73,0.019,62,0,10,3,3.374,2.309,0,0.033,0.001,0.004,0.007,0,0.137,0.034,0.036,0.025,0,0.125,0.041,0.039,0.019
963,540,0.003,61,0,49,15,17.44,10.361,0,0.363,0.004,0.024,0.06,0,0.094,0.055,0.05,0.022,0,0.085,0.005,0.006,0.005
6511,3319,0,525,0,36,12,12.314,4.222,0,0.391,0.001,0.002,0.011,0,0.154,0.069,0.066,0.029,0,0.051,0,0.001,0.001
1178,604,0.003,93,0,30,11,10.936,4.23,0,0.277,0.005,0.013,0.025,0,0.156,0.083,0.076,0.031,0,0.039,0.004,0.006,0.004
1675,936,0.001,234,0,32,12,11.626,4.271,0,0.188,0.002,0.007,0.015,0,0.119,0.066,0.054,0.031,0,0.026,0.003,0.003,0.002
1205,595,0.003,99,0,25,9,9.407,3.348,0,0.439,0.004,0.011,0.029,0,0.178,0.093,0.085,0.033,0,0.053,0.006,0.006,0.004
70,47,0.032,20,0,16,6,5.626,3.063,0,0.359,0.023,0.057,0.085,0,0.212,0.093,0.098,0.051,0,0.217,0.065,0.064,0.035
547,289,0.006,48,0,20,8,7.21,0.805,0,0.309,0.009,0.019,0.036,0,0.19,0.106,0.099,0.037,0,0.072,0.01,0.013,0.008
650,356,0.005,120,0,28,9,7.905,1.584,0,0.268,0.006,0.016,0.026,0,0.127,0.07,0.063,0.033,0,0.061,0.008,0.01,0.006
3463,1833,0.001,293,0,41,11,11.129,1.229,0,0.207,0.002,0.005,0.012,0,0.14,0.069,0.068,0.027,0,0.034,0.001,0.002,0.002
2445,1226,0.001,136,0,42,11,10.976,3.899,0,0.204,0.002,0.006,0.015,0,0.134,0.083,0.078,0.024,0,0.029,0.002,0.003,0.002
448,247,0.007,78,0,22,7.5,6.633,1.398,0,0.268,0.005,0.016,0.034,0,0.229,0.074,0.069,0.046,0,0.117,0.012,0.014,0.011
727,420,0.004,232,0,34,9,9.788,5.007,0,0.177,0.002,0.008,0.018,0,0.143,0.057,0.046,0.036,0,0.045,0.007,0.008,0.005
9659,3473,0,101,0,36,9,9.858,0.428,0,0.257,0,0.002,0.011,0,0.194,0.104,0.101,0.025,0,0.055,0.001,0.001,0.003
3458,1816,0.001,158,0,35,12,12.566,3.945,0,0.23,0.002,0.005,0.012,0,0.137,0.075,0.073,0.022,0,0.029,0.001,0.002,0.001
2885,1362,0.001,148,0,33,12,12.315,4.024,0,0.361,0.001,0.007,0.021,0,0.125,0.075,0.073,0.018,0,0.099,0.002,0.003,0.005
17327,7977,0,1509,0,667,12,12.995,19.111,0,0.213,0,0.001,0.005,0,0.132,0.07,0.061,0.03,0,0.037,0,0,0.001
306,186,0.008,65,0,33,11,11.428,6.574,0,0.225,0.003,0.022,0.036,0,0.099,0.038,0.039,0.023,0,0.048,0.016,0.017,0.007
615,351,0.005,95,0,35,9,10.788,6.689,0,0.287,0.005,0.018,0.034,0,0.184,0.081,0.075,0.047,0,0.08,0.008,0.01,0.008
374,200,0.009,30,0,17,7,7.484,2.841,0,0.354,0.018,0.024,0.037,0,0.242,0.112,0.104,0.046,0,0.1,0.02,0.018,0.01
1367,622,0.003,96,0,29,11,10.733,4.156,0,0.306,0.004,0.012,0.027,0,0.139,0.084,0.077,0.028,0,0.111,0.006,0.007,0.007
4768,2473,0,197,0,37,13,12.724,3.922,0,0.175,0.001,0.004,0.01,0,0.131,0.077,0.073,0.02,0,0.022,0.001,0.001,0.001
278,181,0.008,64,0,37,11,11.64,6.606,0,0.167,0.011,0.028,0.036,0,0.091,0.049,0.044,0.022,0,0.044,0.016,0.017,0.006
1288,674,0.002,104,0,25,10,9.123,0.966,0,0.273,0.005,0.011,0.023,0,0.151,0.082,0.079,0.027,0,0.034,0.005,0.005,0.003
10696,5940,0,1067,0,83,24,24.743,9.495,0,0.3,0,0.002,0.01,0,0.227,0.034,0.031,0.014,0,0.045,0,0,0
393,229,0.007,82,0,18,8,7.999,3.008,0,0.194,0.01,0.018,0.026,0,0.145,0.092,0.078,0.039,0,0.048,0.013,0.015,0.007
72,59,0.021,47,0,9,3,3.128,2.23,0,0.035,0.001,0.005,0.008,0,0.152,0.039,0.039,0.032,0,0.103,0.051,0.042,0.021
440,236,0.007,30,0,20,8,7.431,0.71,0,0.14,0.017,0.024,0.025,0,0.163,0.106,0.097,0.037,0,0.042,0.017,0.015,0.006
1661,968,0.001,99,0,35,14,14.24,4.995,0,0.347,0.004,0.011,0.023,0,0.136,0.065,0.063,0.022,0,0.04,0.003,0.003,0.002
143,103,0.013,51,0,16,5,5.239,3.414,0,0.053,0.002,0.007,0.012,0,0.086,0.036,0.034,0.021,0,0.058,0.029,0.027,0.01
7708,4027,0,638,0,37,12,12.144,3.852,0,0.257,0,0.002,0.008,0,0.165,0.073,0.069,0.025,0,0.043,0,0,0.001
941,516,0.003,91,0,32,14,13.377,5.773,0,0.306,0.004,0.017,0.033,0,0.109,0.06,0.056,0.025,0,0.071,0.005,0.007,0.005
314,168,0.011,51,0,21,8,8.053,3.835,0,0.21,0.01,0.022,0.033,0,0.165,0.081,0.067,0.039,0,0.071,0.02,0.022,0.01
2004,1027,0.001,91,0,22,9,8.46,0.586,0,0.705,0.002,0.006,0.031,0,0.227,0.104,0.101,0.037,0,0.102,0.002,0.003,0.004
119,88,0.015,48,0,27,7,8.039,5.083,0,0.148,0.006,0.027,0.04,0,0.108,0.048,0.046,0.027,0,0.057,0.034,0.031,0.012
1011,451,0.004,67,0,28,11,11.442,5.093,0,0.242,0.006,0.018,0.036,0,0.12,0.076,0.072,0.024,0,0.122,0.006,0.009,0.009
4540,2009,0.001,248,0,38,9,9.1,3.367,0,0.257,0,0.003,0.014,0,0.207,0.105,0.099,0.034,0,0.082,0.001,0.002,0.003
251,147,0.011,61,0,22,8,6.127,1.805,0,0.245,0.006,0.027,0.049,0,0.138,0.064,0.057,0.027,0,0.082,0.02,0.023,0.012
1029,615,0.002,173,0,48,16,16.663,8.006,0,0.258,0.002,0.016,0.035,0,0.098,0.047,0.041,0.022,0,0.053,0.004,0.005,0.004
1180,601,0.003,41,0,22,9,9.263,2.975,0,0.228,0.007,0.012,0.021,0,0.164,0.103,0.098,0.028,0,0.045,0.005,0.006,0.004
1875,896,0.002,136,0,24,8,8.396,2.881,0,0.287,0.002,0.006,0.018,0,0.182,0.099,0.09,0.038,0,0.09,0.004,0.004,0.005
1642,818,0.002,134,0,38,9,8.823,1.26,0,0.296,0.003,0.008,0.021,0,0.139,0.081,0.075,0.03,0,0.045,0.004,0.004,0.004
2682,1385,0.001,50,0,46,13,14.668,1.534,0,0.484,0.001,0.009,0.029,0,0.116,0.072,0.066,0.019,0,0.063,0.002,0.002,0.003
44,39,0.029,38,0,9,3,2.791,2.005,0,0.038,0.004,0.009,0.01,0,0.134,0.045,0.051,0.031,0,0.105,0.052,0.059,0.028
8168,3484,0,397,0,34,11,11.08,3.563,0,0.299,0,0.002,0.01,0,0.173,0.083,0.08,0.028,0,0.055,0,0.001,0.002
307,177,0.009,59,0,28,9,9.746,5.252,0,0.208,0.011,0.027,0.038,0,0.129,0.066,0.059,0.032,0,0.079,0.017,0.019,0.009
1905,660,0.004,103,0,29,8,8.287,3.919,0,0.547,0.002,0.007,0.032,0,0.214,0.108,0.094,0.048,0,0.159,0.006,0.008,0.012
647,352,0.005,51,0,24,9,9.447,3.632,0,0.254,0.011,0.019,0.028,0,0.155,0.096,0.087,0.032,0,0.065,0.008,0.01,0.006
8522,3470,0,178,0,36,10,10.172,3.382,0,0.261,0,0.002,0.011,0,0.17,0.099,0.096,0.023,0,0.055,0.001,0.001,0.002
155,113,0.012,64,0,21,3,3.818,1.699,0,0.082,0.001,0.009,0.018,0,0.091,0.035,0.031,0.018,0,0.071,0.026,0.024,0.009
14415,6140,0,370,0,40,8,8.142,2.495,0,0.297,0,0.001,0.008,0,0.208,0.119,0.114,0.027,0,0.091,0,0,0.002
1869,874,0.002,177,0,47,16,16.585,8.027,0,0.409,0.001,0.013,0.039,0,0.173,0.05,0.049,0.024,0,0.183,0.003,0.004,0.01
23,23,0.045,23,0,4,1,1.159,1.085,0,0.012,0,0.003,0.004,0,0.175,0.06,0.056,0.045,0,0.136,0.09,0.09,0.037
870,425,0.004,42,0,27,11,10.949,4.487,0,0.211,0.007,0.02,0.032,0,0.133,0.082,0.079,0.026,0,0.075,0.009,0.009,0.006
560,296,0.006,123,0,25,6,6.249,1.369,0,0.232,0.004,0.014,0.033,0,0.173,0.085,0.075,0.036,0,0.138,0.01,0.012,0.013
2422,1185,0.001,76,0,30,8,8.322,0.678,0,0.702,0.002,0.005,0.029,0,0.262,0.111,0.112,0.04,0,0.141,0.002,0.003,0.005
378,227,0.007,40,0,33,10,9.827,1.899,0,0.275,0.017,0.035,0.043,0,0.121,0.072,0.069,0.028,0,0.061,0.013,0.014,0.007
32,29,0.039,28,0,9,2,2.595,2.05,0,0.055,0.002,0.013,0.017,0,0.174,0.057,0.062,0.044,0,0.142,0.071,0.078,0.039
51,48,0.022,48,0,14,5,5.218,3.718,0,0.059,0.015,0.02,0.02,0,0.104,0.041,0.045,0.029,0,0.106,0.042,0.045,0.021
867,421,0.004,38,0,27,11,11.027,4.586,0,0.208,0.007,0.02,0.031,0,0.134,0.082,0.079,0.025,0,0.076,0.009,0.009,0.006
563,297,0.006,122,0,25,8,8.315,3.996,0,0.236,0.003,0.014,0.034,0,0.172,0.086,0.075,0.036,0,0.138,0.01,0.012,0.013
1901,954,0.002,68,0,24,10,9.98,3.133,0,0.392,0.003,0.008,0.022,0,0.171,0.094,0.088,0.031,0,0.059,0.003,0.004,0.003
1627,855,0.002,236,0,29,10,8.79,1.229,0,0.324,0.002,0.008,0.021,0,0.118,0.071,0.065,0.023,0,0.038,0.003,0.004,0.003
1579,791,0.002,49,0,23,10,9.686,3.049,0,0.297,0.005,0.01,0.022,0,0.162,0.098,0.096,0.024,0,0.059,0.003,0.005,0.004
3865,1959,0.001,77,0,44,12,12.017,0.71,0,0.385,0.001,0.005,0.018,0,0.163,0.082,0.081,0.023,0,0.047,0.001,0.002,0.002
4710,2182,0,218,0,43,12,12.021,0.877,0,0.284,0.001,0.004,0.012,0,0.137,0.076,0.071,0.023,0,0.05,0.001,0.001,0.002
8763,4296,0,135,0,37,11,11.194,4.098,0,0.315,0,0.002,0.011,0,0.184,0.092,0.091,0.026,0,0.055,0,0,0.001
36,32,0.036,31,0,9,2,2.548,2.008,0,0.045,0.002,0.01,0.014,0,0.157,0.052,0.057,0.038,0,0.129,0.064,0.072,0.033
1446,729,0.002,137,0,48,15,14.686,2.579,0,0.214,0.004,0.016,0.028,0,0.122,0.046,0.046,0.02,0,0.028,0.004,0.005,0.003
5248,2169,0.001,171,0,23,7,7.668,2.389,0,0.263,0,0.002,0.014,0,0.223,0.125,0.121,0.029,0,0.095,0.001,0.002,0.005
1372,774,0.002,229,0,29,8,7.315,1.067,0,0.234,0.002,0.007,0.019,0,0.154,0.084,0.076,0.032,0,0.068,0.003,0.004,0.005
2643,1417,0.001,274,0,31,11,11.193,3.749,0,0.311,0.002,0.005,0.015,0,0.126,0.077,0.073,0.02,0,0.048,0.002,0.002,0.002
4215,1908,0.001,297,0,36,9,9.569,3.888,0,0.261,0.001,0.003,0.013,0,0.19,0.096,0.088,0.036,0,0.061,0.002,0.002,0.003
213,137,0.011,71,0,18,7,7.588,3.828,0,0.154,0.004,0.017,0.029,0,0.163,0.049,0.05,0.03,0,0.066,0.022,0.022,0.009
2556,1235,0.001,195,0,40,11,10.965,4.186,0,0.271,0.002,0.006,0.017,0,0.166,0.085,0.078,0.032,0,0.041,0.003,0.003,0.003
1389,828,0.002,255,0,33,13,10.62,1.815,0,0.226,0.003,0.009,0.019,0,0.09,0.051,0.047,0.02,0,0.019,0.003,0.004,0.002
595,325,0.005,62,0,31,11,10.106,1.809,0,0.222,0.008,0.024,0.04,0,0.127,0.077,0.069,0.03,0,0.064,0.009,0.011,0.006
1991,991,0.002,141,0,30,9,9.761,3.912,0,0.396,0.002,0.007,0.022,0,0.205,0.094,0.089,0.041,0,0.108,0.003,0.004,0.005
134,94,0.015,58,0,14,5,5.072,3.175,0,0.088,0.004,0.009,0.016,0,0.162,0.036,0.043,0.034,0,0.118,0.032,0.03,0.018
2252,1165,0.001,103,0,28,10,9.894,3.112,0,0.371,0.003,0.006,0.022,0,0.173,0.096,0.091,0.03,0,0.046,0.002,0.003,0.003
42,36,0.033,35,0,9,2,2.598,1.986,0,0.04,0.003,0.009,0.011,0,0.139,0.048,0.054,0.035,0,0.114,0.057,0.066,0.029
2097,1451,0,663,0,34,10,8.106,1.716,0,0.099,0,0.002,0.007,0,0.082,0.04,0.031,0.025,0,0.024,0.002,0.001,0.001
1581,754,0.002,110,0,35,11,11.323,1.417,0,0.324,0.004,0.012,0.027,0,0.142,0.072,0.068,0.027,0,0.073,0.003,0.005,0.005
341,205,0.008,78,0,35,12,13.145,7.432,0,0.248,0.009,0.032,0.055,0,0.144,0.046,0.044,0.022,0,0.044,0.014,0.016,0.006
204,145,0.009,74,0,26,8,8.873,5.527,0,0.187,0.003,0.019,0.038,0,0.192,0.036,0.049,0.043,0,0.076,0.02,0.019,0.01
